"filename", "language", "TypeScript", "JSON", "HTML", "JSON with Comments", "JavaScript", "XML", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Ваня\self-employment-front\src\pages\pass-rec\recpass.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 5, 70
"c:\Users\Ваня\self-employment-front\src\pages\register\register.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Ваня\self-employment-front\src\pages\register\register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 15, 137
"c:\Users\Ваня\self-employment-front\src\shared\types\asideIconsTypes.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ваня\self-employment-front\src\shared\types\customerDataTypes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Ваня\self-employment-front\src\shared\types\profileData.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ваня\self-employment-front\src\shared\types\registerData.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ваня\self-employment-front\src\shared\utils\asideIconsData.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Ваня\self-employment-front\src\shared\utils\customerInputData.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Ваня\self-employment-front\src\shared\utils\profilePassportData.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Ваня\self-employment-front\src\store\profileDataSlice\profileData.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Ваня\self-employment-front\src\store\store.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Ваня\self-employment-front\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ваня\self-employment-front\tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\Ваня\self-employment-front\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Ваня\self-employment-front\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 130, 4152, 19, 21, 18, 202, 22, 1044, 74, 4, 177, 5863
